industry_tag,n_total,n_success,p,lo,hi
Analytics,32,21,0.65625,0.48311087978962225,0.7958956207556682
Infrastructure,70,42,0.6,0.4829379647735628,0.7066574227443838
Healthcare IT,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347
Sales,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347
Marketing,61,34,0.5573770491803278,0.4330336769314388,0.6749219447851712
Fintech,131,68,0.5190839694656488,0.4342070432178654,0.6028735404819058
B2B,677,349,0.5155096011816839,0.4778827000026548,0.5529614851272794
Education,35,18,0.5142857142857142,0.35568804595868575,0.6700576399749025
"Engineering, Product and Design",146,71,0.4863013698630137,0.4066243264247194,0.5666807919885594
Housing and Real Estate,39,18,0.46153846153846156,0.31566885606727857,0.6143055172948424
Productivity,79,36,0.45569620253164556,0.35048457593993343,0.5650166706623129
Real Estate and Construction,52,23,0.4423076923076923,0.3159505681940129,0.5766023821279711
Content,62,26,0.41935483870967744,0.3047758590777194,0.5433441525515341
Healthcare,138,53,0.38405797101449274,0.30709500933076106,0.4673009940235747
Retail,58,22,0.3793103448275862,0.2656427267728758,0.5079719280723111
Industrials,75,28,0.37333333333333335,0.2725596912402112,0.48645034885543303
Home and Personal,79,29,0.3670886075949367,0.2692729252049751,0.4772308146017639
Gaming,36,13,0.3611111111111111,0.22475592946515371,0.5242492451444194
Consumer,441,148,0.3356009070294785,0.29311712962165687,0.380924043643971
Food and Beverage,46,15,0.32608695652173914,0.20865943309255652,0.4703226758067758
Social,86,23,0.26744186046511625,0.18532084622257788,0.3694504083289301
Consumer Health and Wellness,32,6,0.1875,0.08889544689565954,0.3530915520137595
