term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.5953441111407047,0.21013036506968957,-2.4680664424006653,0.01358451022113822,0.393399391520681,0.8970975894869585
industryConsumer,0.3876701245501435,0.14669335567721126,-6.459736987152132,1.0488511236068684e-10,0.2900862593484808,0.5157106058506701
industryEducation,0.6718946593162464,0.3842183778271462,-1.0349679522498403,0.3006838780764915,0.31469199272098797,1.43187028983735
industryFintech,0.6264513610846936,0.22147513849899822,-2.1116778468577118,0.03471409039861293,0.40514423651661474,0.9665514570388093
industryGovernment,1.170061804609964,0.8045072732910358,0.19522082283356423,0.8452200784054321,0.2508050126217535,6.492183861180885
industryHealthcare,0.5097176795826319,0.21730727004827477,-3.1011308357792786,0.0019278308916208782,0.33124427105684656,0.7774523107451656
industryIndustrials,0.3646393555239116,0.2890065234575393,-3.490739478293047,4.81685704548942e-4,0.20449879717866606,0.637227873097718
industryReal Estate and Construction,0.5110586675438763,0.33244504849577905,-2.019193515205932,0.04346711007579185,0.2637848541419396,0.9768126671865726
region_bktUnknown,0.6791727594116705,0.39963595435079036,-0.9680804428396975,0.33300419632069006,0.2992082894616157,1.4496246422880394
region_bktUSA,1.3081054942980237,0.16422149444071038,1.6354735038215729,0.10194982470316089,0.9494817212085886,1.8084290497400373
team_bucket101-500,14.691611904914263,0.3809840638443914,7.053514745709013,1.7445401132722981e-12,7.2897035968231085,32.99249911144458
team_bucket11-25,3.5826919716010344,0.15220456446790037,8.384206279737068,5.1069168958154797e-17,2.6631334267572617,4.83799895430094
team_bucket26-100,7.095639948666128,0.19031903014031704,10.295767597354157,7.362996117301008e-25,4.915617304697372,10.375296251037486
team_bucket500+,15070674.675065894,288.6287725482641,0.05726477368520326,0.9543342808126498,2.4667925759368328,NA
team_bucket6-10,2.656596211920701,0.18158391033478083,5.380684235741715,7.420325309112761e-8,1.8615939213267703,3.7958935190352108
batch_decade2015-2021,0.7134113653933188,0.13624857938618248,-2.4785364838308896,0.013192261858407892,0.5458981942913333,0.9315144350322216
