batch_year,country,n
2005,USA,8
2005,United Kingdom,1
2006,USA,16
2007,USA,26
2007,United Kingdom,2
2008,Canada,1
2008,London,1
2008,USA,31
2009,USA,37
2010,Ireland,1
2010,USA,58
2010,United Kingdom,1
2011,Canada,2
2011,USA,100
2011,United Kingdom,1
2012,Canada,2
2012,Hong Kong,1
2012,India,1
2012,Senegal,1
2012,USA,128
2012,United Kingdom,3
2013,Brazil,1
2013,Canada,2
2013,China,1
2013,Germany,1
2013,Philippines,1
2013,Poland,1
2013,USA,88
2014,Austria,1
2014,Canada,11
2014,France,1
2014,India,2
2014,Netherlands,1
2014,USA,126
2014,United Kingdom,3
2015,Argentina,1
2015,Bangladesh,1
2015,Canada,7
2015,China,1
2015,France,1
2015,Hong Kong,2
2015,India,3
2015,Indonesia,1
2015,Israel,1
2015,Kenya,1
2015,London,1
2015,Mexico,1
2015,Nepal,1
2015,Senegal,1
2015,Singapore,3
2015,Slovenia,1
2015,Spain,1
2015,Sweden,1
2015,USA,178
2015,United Kingdom,5
2016,Brazil,1
2016,Canada,8
2016,Colombia,1
2016,Denmark,1
2016,Egypt,1
2016,France,1
2016,Ghana,1
2016,Hong Kong,1
2016,India,5
2016,Israel,2
2016,Mexico,2
2016,Netherlands,1
2016,Nigeria,2
2016,Norway,1
2016,Russia,1
2016,Singapore,1
2016,South Korea,1
2016,USA,188
2016,United Kingdom,1
2017,Brazil,1
2017,Canada,7
2017,China,1
2017,Colombia,2
2017,Denmark,1
2017,France,4
2017,Ghana,1
2017,Hungary,1
2017,India,14
2017,Indonesia,1
2017,Israel,3
2017,Malaysia,1
2017,Mexico,3
2017,Morocco,1
2017,New Zealand,1
2017,Nigeria,7
2017,Singapore,1
2017,South Africa,1
2017,South Korea,1
2017,USA,170
2017,United Kingdom,10
2017,United States,1
2018,Canada,12
2018,Chile,1
2018,China,1
2018,Colombia,3
2018,Estonia,1
2018,France,3
2018,Germany,2
2018,India,6
2018,Indonesia,2
2018,Israel,1
2018,Latvia,1
2018,Mexico,6
2018,Netherlands,1
2018,Nigeria,3
2018,Poland,1
2018,Puerto Rico,1
2018,Singapore,4
2018,Turkey,1
2018,USA,207
2018,United Arab Emirates,1
2018,United Kingdom,11
2019,Argentina,3
2019,Australia,1
2019,Bengaluru,1
2019,Brazil,4
2019,Canada,13
2019,China,3
2019,Colombia,4
2019,Czechia,1
2019,Egypt,2
2019,France,3
2019,Germany,4
2019,Greece,1
2019,India,19
2019,Indonesia,2
2019,Iraq,1
2019,Israel,2
2019,Kyrgyzstan,1
2019,London,2
2019,Mexico,7
2019,Nigeria,5
2019,Panama,1
2019,Peru,2
2019,Philippines,1
2019,Poland,1
2019,Singapore,4
2019,Slovenia,1
2019,South Korea,1
2019,USA,262
2019,Ukraine,1
2019,United Kingdom,7
2020,Algeria,1
2020,Argentina,3
2020,Bengaluru,2
2020,Brazil,11
2020,Canada,17
2020,Chile,1
2020,Colombia,2
2020,Egypt,2
2020,France,6
2020,Germany,5
2020,India,32
2020,Indonesia,2
2020,Ireland,1
2020,Israel,1
2020,Italy,1
2020,Kenya,2
2020,London,2
2020,Malaysia,1
2020,Mexico,13
2020,Netherlands,1
2020,Nigeria,5
2020,Norway,1
2020,Pakistan,2
2020,Panama,1
2020,Singapore,4
2020,Spain,1
2020,Sweden,1
2020,Tanzania,1
2020,USA,293
2020,United Kingdom,16
2021,Argentina,4
2021,Australia,3
2021,Austria,2
2021,Belgium,1
2021,Bengaluru,1
2021,Brazil,21
2021,Canada,21
2021,Chile,10
2021,Colombia,6
2021,Croatia,1
2021,Cyprus,1
2021,Denmark,6
2021,Ecuador,1
2021,Egypt,6
2021,Estonia,2
2021,Finland,1
2021,France,14
2021,Georgia,1
2021,Germany,7
2021,Ghana,1
2021,Hong Kong,1
2021,India,58
2021,Indonesia,4
2021,Ireland,4
2021,Israel,3
2021,Italy,1
2021,Ivory Coast,1
2021,Kenya,2
2021,Lithuania,1
2021,London,3
2021,Malaysia,2
2021,Mexico,29
2021,Morocco,2
2021,Namibia,1
2021,Netherlands,3
2021,Nigeria,7
2021,Norway,2
2021,Pakistan,3
2021,Peru,3
2021,Philippines,5
2021,Poland,2
2021,Romania,1
2021,Singapore,17
2021,Slovenia,1
2021,South Africa,1
2021,South Korea,1
2021,Spain,6
2021,Sweden,1
2021,Switzerland,2
2021,USA,390
2021,United Arab Emirates,4
2021,United Kingdom,31
2021,United States,1
2021,Vietnam,3
2021,Zambia,1
2022,Argentina,5
2022,Australia,4
2022,Austria,1
2022,Bahrain,1
2022,Bengaluru,2
2022,Brazil,7
2022,Canada,16
2022,Chile,3
2022,Colombia,7
2022,Costa Rica,1
2022,Denmark,1
2022,Ethiopia,1
2022,Finland,1
2022,France,6
2022,Germany,9
2022,Ghana,1
2022,Hong Kong,1
2022,India,36
2022,Indonesia,16
2022,Ireland,1
2022,Israel,6
2022,Japan,1
2022,Kenya,3
2022,London,2
2022,Malaysia,2
2022,Mexico,13
2022,Netherlands,3
2022,New Zealand,1
2022,Nigeria,20
2022,Norway,1
2022,Pakistan,5
2022,Panama,3
2022,Peru,2
2022,Philippines,1
2022,Saudi Arabia,3
2022,Singapore,13
2022,Slovenia,1
2022,South Korea,1
2022,Spain,7
2022,Sweden,2
2022,Switzerland,4
2022,Turkey,1
2022,USA,367
2022,Uganda,1
2022,Ukraine,1
2022,United Arab Emirates,4
2022,United Kingdom,23
2022,Venezuela,1
2022,Vietnam,3
2023,Argentina,1
2023,Australia,1
2023,Bengaluru,1
2023,Brazil,2
2023,Canada,7
2023,Chile,1
2023,Colombia,3
2023,Democratic Republic of the Congo,1
2023,Denmark,3
2023,France,5
2023,Germany,8
2023,India,8
2023,Indonesia,2
2023,Ireland,1
2023,Israel,8
2023,Kenya,1
2023,London,3
2023,Mexico,3
2023,Nigeria,4
2023,Saudi Arabia,1
2023,Singapore,2
2023,Spain,1
2023,Switzerland,2
2023,USA,355
2023,United Arab Emirates,1
2023,United Kingdom,15
2024,Belgium,1
2024,Bengaluru,1
2024,Brazil,1
2024,Canada,3
2024,France,7
