batch_year,geo,n,share
2005,Non-US,1,0.1111111111111111
2005,USA,8,0.8888888888888888
2006,USA,16,0.8888888888888888
2006,Unknown,2,0.1111111111111111
2007,Non-US,2,0.0625
2007,USA,26,0.8125
2007,Unknown,4,0.125
2008,Non-US,2,0.046511627906976744
2008,USA,31,0.7209302325581395
2008,Unknown,10,0.23255813953488372
2009,USA,37,0.8809523809523809
2009,Unknown,5,0.11904761904761904
2010,Non-US,2,0.031746031746031744
2010,USA,58,0.9206349206349206
2010,Unknown,3,0.047619047619047616
2011,Non-US,3,0.02857142857142857
2011,USA,100,0.9523809523809523
2011,Unknown,2,0.01904761904761905
2012,Non-US,8,0.053691275167785234
2012,USA,128,0.8590604026845637
2012,Unknown,13,0.087248322147651
2013,Non-US,7,0.07142857142857142
2013,USA,88,0.8979591836734694
2013,Unknown,3,0.030612244897959183
2014,Non-US,19,0.125
2014,USA,126,0.8289473684210527
2014,Unknown,7,0.046052631578947366
2015,Non-US,34,0.15813953488372093
2015,USA,178,0.827906976744186
2015,Unknown,3,0.013953488372093023
2016,Non-US,32,0.14285714285714285
2016,USA,188,0.8392857142857143
2016,Unknown,4,0.017857142857142856
2017,Non-US,62,0.2572614107883817
2017,USA,171,0.7095435684647303
2017,Unknown,8,0.03319502074688797
2018,Non-US,62,0.22382671480144403
2018,USA,207,0.7472924187725631
2018,Unknown,8,0.02888086642599278
2019,Non-US,98,0.2641509433962264
2019,USA,262,0.706199460916442
2019,Unknown,11,0.029649595687331536
2020,Non-US,138,0.3157894736842105
2020,USA,293,0.6704805491990846
2020,Unknown,6,0.013729977116704805
2021,Non-US,316,0.4346629986244842
2021,USA,391,0.5378266850068776
2021,Unknown,20,0.027510316368638238
2022,Non-US,248,0.39178515007898895
2022,USA,367,0.5797788309636651
2022,Unknown,18,0.02843601895734597
2023,Non-US,85,0.1717171717171717
2023,USA,355,0.7171717171717171
2023,Unknown,55,0.1111111111111111
2024,Non-US,49,0.08305084745762711
2024,USA,478,0.8101694915254237
2024,Unknown,63,0.10677966101694915
2025,Non-US,44,0.07017543859649122
2025,USA,503,0.8022328548644339
2025,Unknown,80,0.12759170653907495
2026,Non-US,8,0.023880597014925373
2026,USA,211,0.6298507462686567
2026,Unknown,116,0.34626865671641793
