batch_year,industry,n,share
2005,B2B,5,0.5555555555555556
2005,Consumer,3,0.3333333333333333
2005,Fintech,1,0.1111111111111111
2006,B2B,6,0.3333333333333333
2006,Consumer,12,0.6666666666666666
2007,B2B,10,0.3125
2007,Consumer,19,0.59375
2007,Fintech,1,0.03125
2007,Industrials,2,0.0625
2008,B2B,20,0.46511627906976744
2008,Consumer,22,0.5116279069767442
2008,Fintech,1,0.023255813953488372
2009,B2B,14,0.3333333333333333
2009,Consumer,21,0.5
2009,Education,1,0.023809523809523808
2009,Fintech,2,0.047619047619047616
2009,Real Estate and Construction,4,0.09523809523809523
2010,B2B,33,0.5238095238095238
2010,Consumer,25,0.3968253968253968
2010,Education,1,0.015873015873015872
2010,Fintech,2,0.031746031746031744
2010,Real Estate and Construction,2,0.031746031746031744
2011,B2B,53,0.5047619047619047
2011,Consumer,32,0.3047619047619048
2011,Education,5,0.047619047619047616
2011,Fintech,7,0.06666666666666667
2011,Healthcare,5,0.047619047619047616
2011,Real Estate and Construction,3,0.02857142857142857
2012,B2B,73,0.4899328859060403
2012,Consumer,48,0.3221476510067114
2012,Education,7,0.04697986577181208
2012,Fintech,8,0.053691275167785234
2012,Healthcare,6,0.040268456375838924
2012,Industrials,4,0.026845637583892617
2012,Real Estate and Construction,3,0.020134228187919462
2013,B2B,51,0.5204081632653061
2013,Consumer,27,0.2755102040816326
2013,Education,2,0.02040816326530612
2013,Fintech,6,0.061224489795918366
2013,Healthcare,10,0.10204081632653061
2013,Industrials,1,0.01020408163265306
2013,Real Estate and Construction,1,0.01020408163265306
2014,B2B,64,0.42105263157894735
2014,Consumer,40,0.2631578947368421
2014,Education,2,0.013157894736842105
2014,Fintech,14,0.09210526315789473
2014,Government,1,0.006578947368421052
2014,Healthcare,12,0.07894736842105263
2014,Industrials,11,0.07236842105263158
2014,Real Estate and Construction,3,0.019736842105263157
2014,Unspecified,5,0.03289473684210526
2015,B2B,84,0.39069767441860465
2015,Consumer,47,0.2186046511627907
2015,Education,4,0.018604651162790697
2015,Fintech,18,0.08372093023255814
2015,Government,3,0.013953488372093023
2015,Healthcare,31,0.14418604651162792
2015,Industrials,14,0.06511627906976744
2015,Real Estate and Construction,9,0.04186046511627907
2015,Unspecified,5,0.023255813953488372
2016,B2B,83,0.3705357142857143
2016,Consumer,54,0.24107142857142858
2016,Education,6,0.026785714285714284
2016,Fintech,17,0.07589285714285714
2016,Government,2,0.008928571428571428
2016,Healthcare,30,0.13392857142857142
2016,Industrials,20,0.08928571428571429
2016,Real Estate and Construction,7,0.03125
2016,Unspecified,5,0.022321428571428572
2017,B2B,68,0.2821576763485477
2017,Consumer,55,0.22821576763485477
2017,Education,8,0.03319502074688797
2017,Fintech,26,0.1078838174273859
2017,Government,5,0.02074688796680498
2017,Healthcare,37,0.15352697095435686
2017,Industrials,28,0.11618257261410789
2017,Real Estate and Construction,11,0.04564315352697095
2017,Unspecified,3,0.012448132780082987
2018,B2B,100,0.36101083032490977
2018,Consumer,54,0.19494584837545126
2018,Education,8,0.02888086642599278
2018,Fintech,25,0.09025270758122744
2018,Government,3,0.010830324909747292
2018,Healthcare,64,0.23104693140794225
2018,Industrials,17,0.061371841155234655
2018,Real Estate and Construction,6,0.021660649819494584
2019,B2B,151,0.40700808625336926
2019,Consumer,64,0.1725067385444744
2019,Education,12,0.03234501347708895
2019,Fintech,48,0.1293800539083558
2019,Government,4,0.01078167115902965
2019,Healthcare,49,0.1320754716981132
2019,Industrials,27,0.07277628032345014
2019,Real Estate and Construction,16,0.0431266846361186
2020,B2B,209,0.4782608695652174
2020,Consumer,56,0.12814645308924486
2020,Education,9,0.020594965675057208
2020,Fintech,56,0.12814645308924486
2020,Government,2,0.004576659038901602
2020,Healthcare,68,0.15560640732265446
2020,Industrials,23,0.05263157894736842
2020,Real Estate and Construction,14,0.032036613272311214
2021,B2B,342,0.47042640990371387
2021,Consumer,79,0.10866574965612105
2021,Education,28,0.03851444291609354
2021,Fintech,113,0.15543328748280605
2021,Government,2,0.002751031636863824
2021,Healthcare,107,0.14718019257221457
2021,Industrials,43,0.059147180192572216
2021,Real Estate and Construction,13,0.017881705639614855
2022,B2B,303,0.4786729857819905
2022,Consumer,60,0.0947867298578199
2022,Education,9,0.014218009478672985
2022,Fintech,131,0.20695102685624012
2022,Government,1,0.001579778830963665
2022,Healthcare,69,0.10900473933649289
2022,Industrials,36,0.05687203791469194
2022,Real Estate and Construction,24,0.037914691943127965
2023,B2B,339,0.6848484848484848
2023,Consumer,31,0.06262626262626263
2023,Education,6,0.012121212121212121
2023,Fintech,47,0.09494949494949495
2023,Government,1,0.00202020202020202
2023,Healthcare,50,0.10101010101010101
2023,Industrials,11,0.022222222222222223
2023,Real Estate and Construction,10,0.020202020202020204
2024,B2B,371,0.6288135593220339
2024,Consumer,56,0.09491525423728814
2024,Education,6,0.010169491525423728
2024,Fintech,39,0.06610169491525424
2024,Government,7,0.011864406779661017
2024,Healthcare,61,0.10338983050847457
2024,Industrials,39,0.06610169491525424
2024,Real Estate and Construction,11,0.01864406779661017
2025,B2B,413,0.6586921850079744
2025,Consumer,46,0.0733652312599681
2025,Education,10,0.01594896331738437
2025,Fintech,34,0.05422647527910686
2025,Government,9,0.014354066985645933
2025,Healthcare,44,0.07017543859649122
2025,Industrials,58,0.09250398724082935
2025,Real Estate and Construction,13,0.02073365231259968
2026,B2B,218,0.6507462686567164
2026,Consumer,20,0.05970149253731343
2026,Fintech,26,0.07761194029850746
2026,Government,1,0.0029850746268656717
2026,Healthcare,24,0.07164179104477612
2026,Industrials,41,0.12238805970149254
2026,Real Estate and Construction,5,0.014925373134328358
