batch_year,n_top,batch_size,top_rate
2005,1,9,0.1111111111111111
2006,2,18,0.1111111111111111
2007,3,32,0.09375
2008,2,43,0.046511627906976744
2009,4,42,0.09523809523809523
2010,4,63,0.06349206349206349
2011,6,105,0.05714285714285714
2012,13,149,0.087248322147651
2013,6,98,0.061224489795918366
2014,11,152,0.07236842105263158
2015,8,215,0.037209302325581395
2016,12,224,0.05357142857142857
2017,6,241,0.024896265560165973
2018,6,277,0.021660649819494584
2019,3,371,0.008086253369272238
2020,2,437,0.004576659038901602
2021,2,727,0.002751031636863824
2022,NA,633,0
2023,NA,495,0
2024,NA,590,0
2025,NA,627,0
2026,NA,335,0
