industry,era_q3,n_total,n_success,p,lo,hi
B2B,2005-2014,250,132,0.528,0.46616258903849145,0.5889899461897637
B2B,2015-2021,427,217,0.5081967213114754,0.4609171699717404,0.5553301058107725
Consumer,2005-2014,214,82,0.38317757009345793,0.3206456093799721,0.44982966988651896
Consumer,2015-2021,227,66,0.2907488986784141,0.2355475490581496,0.35291459077873666
Education,2015-2021,24,12,0.5,0.3142742581957336,0.6857257418042664
Fintech,2005-2014,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347
Fintech,2015-2021,101,51,0.504950495049505,0.409064891932013,0.6004733194897707
Healthcare,2005-2014,18,8,0.4444444444444444,0.2455951812700564,0.6628358435795721
Healthcare,2015-2021,120,45,0.375,0.2935242978644681,0.46423049374020786
Industrials,2015-2021,62,22,0.3548387096774194,0.247427328510499,0.47918869242215756
Real Estate and Construction,2015-2021,40,15,0.375,0.24222979167233274,0.5296756086269889
