id,name,batch_year,era,status,outcome,country,in_us,team_size,team_bucket,top_company,industry_tag
26331,BBy,2022,2015-2024,Active,Surviving,USA,TRUE,70,26-100,FALSE,Healthcare
26331,BBy,2022,2015-2024,Active,Surviving,USA,TRUE,70,26-100,FALSE,Medical Devices
26311,WhiteLab Genomics,2022,2015-2024,Active,Surviving,France,FALSE,40,26-100,FALSE,Healthcare
26311,WhiteLab Genomics,2022,2015-2024,Active,Surviving,France,FALSE,40,26-100,FALSE,Drug Discovery and Delivery
26307,Mindbase,2022,2015-2024,Active,Surviving,USA,TRUE,7,6-10,FALSE,B2B
26307,Mindbase,2022,2015-2024,Active,Surviving,USA,TRUE,7,6-10,FALSE,Marketing
26303,Massdriver,2022,2015-2024,Active,Surviving,USA,TRUE,11,11-25,FALSE,B2B
26303,Massdriver,2022,2015-2024,Active,Surviving,USA,TRUE,11,11-25,FALSE,"Engineering, Product and Design"
26296,Reality Defender,2022,2015-2024,Active,Surviving,USA,TRUE,54,26-100,FALSE,B2B
26296,Reality Defender,2022,2015-2024,Active,Surviving,USA,TRUE,54,26-100,FALSE,Security
26294,Lizza,2022,2015-2024,Active,Surviving,Mexico,FALSE,7,6-10,FALSE,B2B
26294,Lizza,2022,2015-2024,Active,Surviving,Mexico,FALSE,7,6-10,FALSE,Retail
26290,Mono,2022,2015-2024,Active,Surviving,Colombia,FALSE,30,26-100,FALSE,Fintech
26290,Mono,2022,2015-2024,Active,Surviving,Colombia,FALSE,30,26-100,FALSE,Payments
26277,CrediBook,2022,2015-2024,Active,Surviving,Indonesia,FALSE,53,26-100,FALSE,B2B
26277,CrediBook,2022,2015-2024,Active,Surviving,Indonesia,FALSE,53,26-100,FALSE,Retail
26268,Remi,2022,2015-2024,Active,Surviving,USA,TRUE,170,101-500,FALSE,Real Estate and Construction
26267,Fresh Factory,2022,2015-2024,Active,Surviving,Indonesia,FALSE,100,26-100,FALSE,B2B
26267,Fresh Factory,2022,2015-2024,Active,Surviving,Indonesia,FALSE,100,26-100,FALSE,Supply Chain and Logistics
26266,Onboard.io,2022,2015-2024,Active,Surviving,USA,TRUE,6,6-10,FALSE,B2B
26266,Onboard.io,2022,2015-2024,Active,Surviving,USA,TRUE,6,6-10,FALSE,Productivity
26265,Seis,2022,2015-2024,Active,Surviving,USA,TRUE,70,26-100,FALSE,Fintech
26265,Seis,2022,2015-2024,Active,Surviving,USA,TRUE,70,26-100,FALSE,Consumer Finance
26264,Jutsoo,2022,2015-2024,Active,Surviving,Indonesia,FALSE,12,11-25,FALSE,B2B
